title,year_km,hp,vehicle_specs,price_gross,year,km,cv,price,color_exterior,cambio
Peugeot Boxer 120 HDI Wohnmobil,"12/2009, 280.000 km",88 cv (120 HP),"Caravana, Diésel, Cambio manual,Color exterior: Blanco",8.850 € (bruto),2009,280000.0,88,8850.0,Blanco,Cambio manual Color exterior: Blanco
Peugeot BOXER. 3.0 HDI ! WOHNMOBIL!  TÜV-NEU !,"07/2009, 273.000 km",116 cv (158 HP),"Autocaravana, Diésel, Cambio manual,Color exterior: Blanco",9.900 € (bruto),2009,273000.0,116,9900.0,Blanco,Cambio manual Color exterior: Blanco
title,year,km,cv,price,color_exterior,cambio
Peugeot Boxer 120 HDI Wohnmobil,2009,280000.0,88,8850.0,Blanco,Cambio manual Color exterior: Blanco
Peugeot BOXER. 3.0 HDI ! WOHNMOBIL!  TÜV-NEU !,2009,273000.0,116,9900.0,Blanco,Cambio manual Color exterior: Blanco
title,year,km,cv,price,color_exterior,cambio
Peugeot Boxer 120 HDI Wohnmobil,2009,280000.0,88,8850.0,Blanco,Cambio manual Color exterior: Blanco
Peugeot BOXER. 3.0 HDI ! WOHNMOBIL!  TÜV-NEU !,2009,273000.0,116,9900.0,Blanco,Cambio manual Color exterior: Blanco
